origem,usuario,mensagem,data
NPS,mariana.ferreira,Onde eu reporto um bug com print da tela?,2025-03-28 16:43:17
BuzzMonitor,ana.lima,Preciso de um relatorio de cobranca do mes. Ticket 68912.,2025-03-29 14:58:44
CSAT,vitor.gomes,A nova interface ficou bem mais intuitiva.,2025-03-29 15:00:19
NPS,bruno.almeida,"Comecei a usar rapido, processo muito bom.",2025-03-29 15:24:43
BOT,isabela.gomes,O atendente nao entendeu o problema e encerrou o ticket. Preciso de retorno urgente.,2025-03-29 17:24:35
CSAT,mario.ferreira,"Gostei do controle de permissoes, bem completo. Preciso de retorno urgente.",2025-03-29 20:56:57
CSAT,fernanda.lima,Recebi alerta de login suspeito e nao consegui bloquear.,2025-03-30 00:54:22
BOT,fernanda.mendes,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-03-30 09:06:53
BuzzMonitor,thiago.elias,Importacao muito mais eficiente agora.,2025-03-30 09:11:07
NPS,joao.ferreira,"As dicas na tela ajudam bastante, parabens.",2025-03-30 10:09:09
CSAT,laura.souza,"Obrigada pela paciencia, problema resolvido.",2025-03-30 11:38:36
NPS,vitor.martins,"Gostei do controle de permissoes, bem completo.",2025-03-30 22:52:57
BuzzMonitor,mario.dias,Parabens pelas melhorias de seguranca.,2025-03-31 02:58:00
BOT,thiago.carvalho,O cancelamento foi cobrado mesmo depois de eu solicitar. Ticket 92066.,2025-03-31 05:59:05
BuzzMonitor,ana.rocha,Onde vejo o log de auditoria?,2025-03-31 08:43:24
BuzzMonitor,carla.barbosa,"Faltam campos no cadastro, isso atrapalha.",2025-03-31 10:18:33
BuzzMonitor,lucas.rocha,O filtro nao funciona e retorna resultados errados.,2025-03-31 10:59:00
CSAT,patricia.dias,Os logs de auditoria ajudaram bastante.,2025-03-31 12:46:13
CSAT,rafael.ferreira,"A navegacao esta confusa, nao acho as configuracoes.",2025-03-31 21:55:01
NPS,diego.barbosa,Onde eu reporto um bug com print da tela?,2025-04-01 04:51:11
CSAT,bruno.correa,Nao consigo atualizar meus dados de pagamento no sistema. Ticket 17362.,2025-04-01 08:12:24
NPS,mario.ferreira,"Evoluiram muito no ultimo trimestre, parabens.",2025-04-01 08:26:36
NPS,ana.silva,Muitos cliques para fazer uma tarefa simples.,2025-04-01 08:41:05
NPS,mariana.elias,A correcao do filtro resolveu meu problema. Preciso de retorno urgente.,2025-04-01 12:05:05
BuzzMonitor,bruno.gomes,Estou recebendo erro 500 ao tentar salvar. Preciso de retorno urgente. Ticket 99863.,2025-04-01 12:25:24
BOT,patricia.martins,A documentacao e bem completa.,2025-04-01 19:22:41
BuzzMonitor,bruno.mendes,Tem atalho para acessar relatorios mais rapido? Ticket 58422.,2025-04-01 21:12:43
NPS,mario.almeida,Tem trilha de treinamento para novos usuarios?,2025-04-01 23:05:04
CSAT,thiago.araujo,Existe cache para relatorios?,2025-04-02 02:53:02
CSAT,bruno.gomes,Parece que um usuario acessou dados que nao deveria.,2025-04-02 12:06:41
CSAT,vitor.araujo,"A sincronizacao ficou consistente, obrigado.",2025-04-02 12:20:34
NPS,ana.almeida,Vocês recomendam qual navegador?,2025-04-02 16:35:11
NPS,fernanda.correa,Qual versao contem a correcao do problema?,2025-04-02 17:30:18
NPS,juliana.correa,A API esta retornando 401 mesmo com token valido.,2025-04-02 20:48:58
CSAT,mariana.mendes,Muitos cliques para fazer uma tarefa simples.,2025-04-02 21:25:55
CSAT,bruno.pereira,"Nao carrega a tela inicial, fica em loading infinito.",2025-04-02 22:52:21
CSAT,diego.dias,"A fatura veio com reajuste sem aviso, podem verificar?",2025-04-03 02:06:11
CSAT,camila.martins,Vocês recomendam qual navegador?,2025-04-03 02:55:02
CSAT,bruno.nascimento,Fiquei perdido na configuracao inicial. Preciso de retorno urgente.,2025-04-03 06:23:58
CSAT,carla.lima,O reset de senha falha e nao chega email.,2025-04-03 16:05:41
BuzzMonitor,joao.gomes,Tem boas praticas para melhorar performance? Preciso de retorno urgente.,2025-04-03 22:06:53
CSAT,mario.araujo,Nao consegui importar meus dados iniciais. Ticket 56244.,2025-04-04 10:13:16
BOT,juliana.rocha,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-04-04 18:53:38
BOT,isabela.elias,Vocês tem exemplo de payload para webhooks?,2025-04-05 05:37:17
CSAT,gustavo.ferreira,Como abro um chamado para suporte tecnico?,2025-04-05 09:36:27
CSAT,joao.barbosa,A integracao suporta ambientes de teste?,2025-04-05 18:05:59
BOT,camila.rocha,A integracao gera erro ao sincronizar e para no meio.,2025-04-06 05:40:41
CSAT,isabela.mendes,O tempo de resposta da API aumentou bastante.,2025-04-06 08:10:50
BuzzMonitor,carla.barbosa,Parece que um usuario acessou dados que nao deveria.,2025-04-06 09:35:30
NPS,ana.araujo,Ficou travando e desconectando toda hora.,2025-04-06 10:17:30
CSAT,thiago.dias,Fui transferido varias vezes e nao resolveram.,2025-04-06 10:22:11
BOT,isabela.ferreira,"Nao carrega a tela inicial, fica em loading infinito.",2025-04-06 13:14:11
CSAT,mario.dias,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-04-06 15:49:56
CSAT,lucas.correa,O tempo de resposta da API aumentou bastante.,2025-04-06 18:59:00
CSAT,bruno.almeida,A documentacao e bem completa.,2025-04-07 05:32:11
BuzzMonitor,patricia.correa,Quero falar com um especialista em integracoes.,2025-04-07 09:31:46
CSAT,juliana.ribeiro,O menu mudou e agora ficou pior de usar. Ticket 44517.,2025-04-07 09:55:43
NPS,beatriz.elias,"A fatura veio com reajuste sem aviso, podem verificar? Ticket 97163.",2025-04-07 10:40:42
CSAT,joao.mendes,Como abro um chamado para suporte tecnico?,2025-04-07 13:37:07
BuzzMonitor,camila.elias,"A busca ficou instantanea, parabens.",2025-04-07 14:03:43
NPS,carla.souza,O onboarding foi confuso e faltou treinamento.,2025-04-07 14:58:46
BuzzMonitor,bruno.ferreira,Os tutoriais ajudaram muito a comecar.,2025-04-07 17:46:17
BOT,gustavo.oliveira,Quero falar com um especialista em integracoes.,2025-04-07 18:06:17
BuzzMonitor,beatriz.mendes,Ficou travando e desconectando toda hora.,2025-04-07 21:11:56
BuzzMonitor,camila.mendes,Qual o limite de requisicoes por minuto na API?,2025-04-07 23:58:50
CSAT,juliana.dias,O reset de senha falha e nao chega email. Preciso de retorno urgente.,2025-04-08 01:26:44
BuzzMonitor,gustavo.ribeiro,Quando tento exportar CSV ele vem vazio.,2025-04-08 01:32:26
NPS,leonardo.rocha,A integracao com o ERP não esta sincronizando.,2025-04-08 03:25:29
CSAT,mario.mendes,"A API esta bem documentada, consegui integrar rapido.",2025-04-08 05:59:07
BuzzMonitor,bruno.nascimento,"Evoluiram muito no ultimo trimestre, parabens.",2025-04-08 08:15:59
BuzzMonitor,juliana.souza,Ficou travando e desconectando toda hora.,2025-04-08 08:25:13
BOT,mariana.lima,Consigo abrir um chamado para esse comportamento? Preciso de retorno urgente.,2025-04-08 15:02:52
NPS,fernanda.dias,O onboarding foi excelente e bem guiado.,2025-04-08 15:20:57
BOT,camila.martins,Muitos cliques para fazer uma tarefa simples.,2025-04-08 17:43:02
BuzzMonitor,camila.lima,Vocês tiveram alguma manutencao programada hoje?,2025-04-09 00:42:29
CSAT,mariana.gomes,Tem SSO com Azure AD? Preciso de retorno urgente.,2025-04-09 01:42:29
CSAT,camila.dias,"Estou vendo lentidao em alguns horarios, e esperado?",2025-04-09 23:28:09
CSAT,carla.silva,Fiquei perdido na configuracao inicial.,2025-04-10 09:31:12
BOT,laura.ribeiro,"Evoluiram muito no ultimo trimestre, parabens.",2025-04-10 15:35:50
NPS,carla.almeida,O atendente nao entendeu o problema e encerrou o ticket.,2025-04-10 22:34:41
BuzzMonitor,fernanda.dias,Parabens pelas melhorias de seguranca. Ticket 87352.,2025-04-11 03:12:39
BOT,juliana.martins,A tela nao e intuitiva e acaba atrapalhando.,2025-04-11 04:00:18
BuzzMonitor,mario.elias,Qual o prazo para emitir nota fiscal?,2025-04-11 20:35:11
BuzzMonitor,mario.lima,"A importacao esta levando horas, ficou impraticavel.",2025-04-12 02:04:35
NPS,bruno.lima,"Estou com problema na cobranca, veio valor duplicado na fatura. Preciso de retorno urgente.",2025-04-12 03:10:15
BuzzMonitor,beatriz.gomes,A integracao com o CRM funcionou sem dor de cabeca.,2025-04-12 16:08:52
BuzzMonitor,mariana.carvalho,"A importacao esta levando horas, ficou impraticavel.",2025-04-12 23:50:37
BuzzMonitor,isabela.pereira,Posso enviar logs para ajudar a investigar?,2025-04-13 06:05:46
BOT,leonardo.elias,Parece que um usuario acessou dados que nao deveria.,2025-04-13 17:00:03
CSAT,mario.ribeiro,"A tela de cadastro ficou redonda, sem bugs.",2025-04-14 00:38:42
BOT,mario.almeida,A busca demora demais e trava o navegador.,2025-04-14 05:00:30
BuzzMonitor,vitor.elias,A nova interface ficou bem mais intuitiva.,2025-04-14 06:15:04
NPS,vitor.ferreira,"Boa, o erro de sincronizacao sumiu.",2025-04-14 14:01:01
CSAT,rafael.carvalho,A integracao com o CRM funcionou sem dor de cabeca.,2025-04-14 14:09:27
CSAT,rafael.nascimento,A autenticacao em dois fatores nao funciona.,2025-04-14 19:49:04
CSAT,juliana.correa,Tem SSO com Azure AD?,2025-04-15 05:43:57
NPS,leonardo.barbosa,O bloqueio por IP facilitou nossa politica interna.,2025-04-15 06:44:16
BuzzMonitor,camila.nascimento,No geral estou bem satisfeito com a plataforma.,2025-04-15 13:35:45
NPS,fernanda.rocha,Vocês oferecem implantacao assistida?,2025-04-16 04:52:42
BuzzMonitor,mario.nascimento,O reset de senha falha e nao chega email. Preciso de retorno urgente.,2025-04-16 06:23:19
CSAT,ana.teixeira,O webhooks estao falhando e nao recebo eventos.,2025-04-16 08:18:26
CSAT,laura.martins,"Faltam campos no cadastro, isso atrapalha.",2025-04-16 08:47:45
BuzzMonitor,rafael.mendes,Preciso de um relatorio de cobranca do mes.,2025-04-16 11:41:44
BOT,beatriz.martins,Posso reorganizar o menu?,2025-04-16 14:48:44
NPS,fernanda.martins,"Muito bom ter 2FA, aumentou a seguranca.",2025-04-16 21:33:22
CSAT,patricia.teixeira,"Nao carrega a tela inicial, fica em loading infinito.",2025-04-16 22:35:57
CSAT,fernanda.silva,"A fatura veio com reajuste sem aviso, podem verificar?",2025-04-16 23:01:15
NPS,vitor.dias,O bloqueio por IP facilitou nossa politica interna.,2025-04-16 23:56:29
BOT,laura.araujo,Existe modo escuro?,2025-04-17 00:40:00
BOT,patricia.gomes,Estou recebendo erro 500 ao tentar salvar.,2025-04-17 09:09:20
BuzzMonitor,lucas.carvalho,"A fatura veio com reajuste sem aviso, podem verificar?",2025-04-17 12:46:00
BOT,joao.dias,Como configuro 2FA para todos os usuarios?,2025-04-17 13:45:58
NPS,joao.teixeira,Estou recebendo erro 500 ao tentar salvar.,2025-04-17 16:21:16
BuzzMonitor,carla.oliveira,O cancelamento foi cobrado mesmo depois de eu solicitar.,2025-04-17 23:13:24
NPS,thiago.barbosa,A tela nao e intuitiva e acaba atrapalhando.,2025-04-18 00:55:23
CSAT,gustavo.martins,A correcao do filtro resolveu meu problema.,2025-04-18 02:16:04
BOT,mariana.ribeiro,Resposta rapida e com orientacao completa. Ticket 54917.,2025-04-18 04:56:14
CSAT,carla.oliveira,Estou recebendo erro 500 ao tentar salvar.,2025-04-18 05:30:48
BuzzMonitor,fernanda.elias,Muitos cliques para fazer uma tarefa simples.,2025-04-18 10:50:34
CSAT,laura.barbosa,A experiencia poderia ser melhor em dispositivos moveis.,2025-04-18 12:55:57
NPS,thiago.gomes,"O processo de pagamento ficou mais simples, ajudou muito.",2025-04-18 15:10:54
BOT,bruno.araujo,A documentacao e bem completa.,2025-04-18 16:02:26
CSAT,isabela.barbosa,"Boa, o erro de sincronizacao sumiu.",2025-04-18 16:43:44
NPS,camila.silva,O boleto não foi gerado e estou com pagamento em atraso por causa disso.,2025-04-18 21:01:21
NPS,patricia.pereira,"A importacao esta levando horas, ficou impraticavel.",2025-04-18 21:38:30
BuzzMonitor,laura.elias,"Estou sem retorno ha dias, isso prejudica o trabalho. Preciso de retorno urgente.",2025-04-18 21:44:18
NPS,isabela.souza,A API esta retornando 401 mesmo com token valido.,2025-04-18 23:35:58
BuzzMonitor,thiago.mendes,O tempo de resposta da API aumentou bastante. Ticket 81741.,2025-04-19 00:12:01
BOT,bruno.mendes,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-04-19 04:26:38
CSAT,gustavo.oliveira,Fui transferido varias vezes e nao resolveram.,2025-04-19 04:46:07
NPS,juliana.carvalho,Preciso de um relatorio de cobranca do mes.,2025-04-19 08:07:38
BOT,mariana.dias,"Gostei do novo painel financeiro, bem mais claro.",2025-04-19 14:20:10
NPS,mario.mendes,"Gostei do layout, ficou facil achar as funcoes.",2025-04-19 14:36:21
NPS,ana.oliveira,A conciliacao bancaria ficou bem melhor nessa versao.,2025-04-19 17:35:25
CSAT,joao.mendes,Ficou travando e desconectando toda hora.,2025-04-19 18:52:57
BuzzMonitor,rafael.silva,Quero falar com um especialista em integracoes. Ticket 82737.,2025-04-19 19:35:45
CSAT,patricia.ribeiro,A API esta bem mais rapida nessa versao.,2025-04-19 19:41:11
CSAT,vitor.ferreira,"O time de CS acompanhou ate a solucao, show.",2025-04-19 20:35:12
BuzzMonitor,ana.mendes,"Obrigada pela paciencia, problema resolvido. Preciso de retorno urgente.",2025-04-19 21:01:12
NPS,gustavo.almeida,O reset de senha falha e nao chega email.,2025-04-19 22:50:14
BuzzMonitor,laura.elias,A autenticacao em dois fatores nao funciona.,2025-04-20 01:20:03
CSAT,joao.teixeira,Estou recebendo erro 500 ao tentar salvar.,2025-04-20 01:33:27
BOT,isabela.nascimento,O webhooks estao falhando e nao recebo eventos.,2025-04-20 05:17:47
BOT,gustavo.mendes,Posso enviar logs para ajudar a investigar?,2025-04-20 10:32:29
NPS,beatriz.ribeiro,A integracao com o ERP nao esta sincronizando.,2025-04-20 10:41:57
CSAT,gustavo.lima,O filtro nao funciona e retorna resultados errados.,2025-04-20 12:50:34
NPS,diego.elias,Quando tento exportar CSV ele vem vazio.,2025-04-20 13:29:53
NPS,beatriz.pereira,Sinto falta de um relatorio mais completo.,2025-04-20 20:00:40
BuzzMonitor,carla.dias,Depois do patch nao ocorre mais duplicacao na importacao.,2025-04-21 00:14:12
CSAT,patricia.barbosa,"Gostei do conector com o ERP, poupou tempo. Preciso de retorno urgente.",2025-04-21 03:23:05
CSAT,diego.nascimento,A experiencia poderia ser melhor em dispositivos moveis. Preciso de retorno urgente.,2025-04-21 08:26:30
CSAT,rafael.ribeiro,"A busca ficou instantanea, parabens. Ticket 56284.",2025-04-21 10:37:57
CSAT,lucas.dias,Os logs de auditoria ajudaram bastante.,2025-04-21 14:26:38
BuzzMonitor,laura.martins,Onde encontro a opcao para personalizar colunas?,2025-04-21 19:57:01
BuzzMonitor,fernanda.mendes,"A performance melhorou muito, ta voando.",2025-04-22 01:46:26
NPS,beatriz.elias,A documentacao esta desatualizada.,2025-04-22 07:00:05
CSAT,rafael.barbosa,Quando tento exportar CSV ele vem vazio.,2025-04-22 07:32:21
CSAT,isabela.ribeiro,Parabens pelas melhorias de seguranca.,2025-04-22 16:59:11
CSAT,leonardo.carvalho,Muitos cliques para fazer uma tarefa simples.,2025-04-22 17:12:40
NPS,gustavo.ribeiro,"Gostei do controle de permissoes, bem completo.",2025-04-23 08:07:50
CSAT,juliana.silva,Posso reorganizar o menu?,2025-04-23 10:01:28
NPS,camila.araujo,"Muito bom ter 2FA, aumentou a seguranca.",2025-04-23 11:47:34
NPS,rafael.araujo,As mensagens de erro nao explicam o que fazer.,2025-04-23 16:49:48
CSAT,mariana.araujo,O tempo de resposta da API aumentou bastante.,2025-04-23 19:32:41
NPS,ana.pereira,"O time de CS acompanhou ate a solucao, show.",2025-04-23 20:41:56
CSAT,rafael.barbosa,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-04-24 02:32:27
CSAT,thiago.martins,"Faltam campos no cadastro, isso atrapalha.",2025-04-24 07:20:13
NPS,mariana.teixeira,"A navegacao esta confusa, nao acho as configuracoes.",2025-04-24 07:59:16
CSAT,camila.elias,Quero entender como funciona o calculo de impostos.,2025-04-24 12:13:03
BuzzMonitor,mariana.barbosa,O suporte foi muito prestativo e claro.,2025-04-24 12:44:23
BuzzMonitor,gustavo.mendes,O filtro nao funciona e retorna resultados errados. Preciso de retorno urgente.,2025-04-24 23:04:58
BuzzMonitor,isabela.elias,"Nao tive mais desconexoes, otimo trabalho.",2025-04-24 23:37:10
NPS,leonardo.mendes,"A tela de cadastro ficou redonda, sem bugs.",2025-04-25 06:21:47
BuzzMonitor,vitor.correa,Depois do patch não ocorre mais duplicacao na importacao.,2025-04-25 14:02:48
BOT,rafael.martins,Tem boas praticas para melhorar performance? Preciso de retorno urgente.,2025-04-25 14:34:46
NPS,patricia.barbosa,A ferramenta esta ajudando muito nosso dia a dia.,2025-04-26 04:25:08
BuzzMonitor,laura.nascimento,Nao consegui importar meus dados iniciais.,2025-04-26 11:31:55
CSAT,beatriz.lima,O reset de senha falha e nao chega email.,2025-04-26 13:42:33
NPS,rafael.nascimento,A busca demora demais e trava o navegador.,2025-04-26 13:58:07
NPS,mario.teixeira,O suporte foi muito prestativo e claro.,2025-04-26 14:36:35
BOT,camila.lima,Acho que a comunicacao de mudancas poderia melhorar.,2025-04-26 17:47:17
CSAT,gustavo.carvalho,O boleto nao foi gerado e estou com pagamento em atraso por causa disso.,2025-04-27 01:40:24
BOT,beatriz.barbosa,O filtro nao funciona e retorna resultados errados.,2025-04-27 02:04:20
BuzzMonitor,gustavo.carvalho,A autenticacao em dois fatores nao funciona. Preciso de retorno urgente.,2025-04-27 04:19:10
BOT,lucas.ferreira,"A importacao esta levando horas, ficou impraticavel.",2025-04-27 07:44:13
CSAT,lucas.correa,Parece que um usuario acessou dados que nao deveria. Preciso de retorno urgente.,2025-04-27 18:09:09
NPS,carla.oliveira,O fluxo de cadastro esta muito melhor.,2025-04-27 18:40:31
BuzzMonitor,bruno.gomes,A integracao com o gateway de pagamento caiu.,2025-04-27 21:03:22
BOT,thiago.silva,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-04-28 00:47:31
CSAT,ana.elias,Como configuro 2FA para todos os usuarios? Ticket 47105.,2025-04-28 01:52:15
BuzzMonitor,juliana.correa,A experiencia de uso evoluiu muito.,2025-04-28 04:38:54
CSAT,beatriz.martins,A integracao com o gateway de pagamento caiu.,2025-04-28 08:11:46
BuzzMonitor,vitor.gomes,"A equipe acompanhou a implantacao, foi tranquilo.",2025-04-28 08:16:45
NPS,thiago.nascimento,A tela não e intuitiva e acaba atrapalhando.,2025-04-28 14:29:27
BuzzMonitor,carla.mendes,Consigo abrir um chamado para esse comportamento?,2025-04-28 14:50:14
BuzzMonitor,diego.souza,Parabens pelas melhorias de seguranca. Preciso de retorno urgente.,2025-04-29 00:38:24
CSAT,juliana.ribeiro,O menu mudou e agora ficou pior de usar.,2025-04-29 04:11:17
BuzzMonitor,rafael.nascimento,Ficou travando e desconectando toda hora.,2025-04-29 04:48:36
NPS,patricia.martins,Nao consigo atualizar meus dados de pagamento no sistema.,2025-04-29 07:37:06
BOT,patricia.correa,A tela nao e intuitiva e acaba atrapalhando.,2025-04-29 08:23:43
NPS,mariana.martins,Hoje o sistema esta super rapido e sem quedas.,2025-04-29 10:14:21
BOT,lucas.barbosa,Importacao muito mais eficiente agora. Preciso de retorno urgente.,2025-04-29 16:08:12
NPS,patricia.almeida,Quando tento exportar CSV ele vem vazio. Ticket 60430.,2025-04-29 22:35:10
BuzzMonitor,carla.teixeira,Posso enviar logs para ajudar a investigar? Preciso de retorno urgente.,2025-04-30 03:31:45
BuzzMonitor,laura.oliveira,"A importacao esta levando horas, ficou impraticavel.",2025-04-30 04:30:21
NPS,gustavo.ferreira,A disponibilidade melhorou bastante essa semana.,2025-04-30 15:32:03
CSAT,bruno.teixeira,A experiencia poderia ser melhor em dispositivos moveis.,2025-04-30 17:10:33
CSAT,fernanda.correa,A documentacao e bem completa.,2025-04-30 17:23:27
BOT,juliana.araujo,Tem trilha de treinamento para novos usuarios?,2025-04-30 22:40:40
CSAT,lucas.correa,Tem alguma previsao para corrigir a exportacao? Ticket 21848.,2025-05-01 02:38:17
NPS,thiago.rocha,O filtro nao funciona e retorna resultados errados.,2025-05-01 04:55:10
CSAT,rafael.nascimento,Depois do patch nao ocorre mais duplicacao na importacao. Preciso de retorno urgente.,2025-05-01 11:34:09
BuzzMonitor,leonardo.silva,A integracao com o ERP nao esta sincronizando.,2025-05-01 15:54:47
BOT,lucas.barbosa,O botao de salvar não responde na tela de cadastro.,2025-05-01 20:13:36
NPS,gustavo.dias,Preciso de auditoria e nao encontro logs completos. Preciso de retorno urgente.,2025-05-01 22:44:46
CSAT,mario.souza,"Gostei do controle de permissoes, bem completo.",2025-05-02 00:40:14
CSAT,ana.souza,O menu mudou e agora ficou pior de usar. Preciso de retorno urgente.,2025-05-02 04:06:54
BuzzMonitor,beatriz.souza,O reset de senha falha e nao chega email.,2025-05-02 06:16:53
CSAT,mariana.barbosa,"Estou vendo lentidao em alguns horarios, e esperado?",2025-05-02 12:38:40
BuzzMonitor,camila.elias,Fui transferido varias vezes e nao resolveram.,2025-05-02 13:31:19
CSAT,gustavo.nascimento,Depois do patch nao ocorre mais duplicacao na importacao.,2025-05-02 15:06:09
BuzzMonitor,vitor.dias,Os tutoriais ajudaram muito a comecar.,2025-05-02 19:23:13
BuzzMonitor,isabela.lima,"Faltam campos no cadastro, isso atrapalha.",2025-05-02 21:48:16
BOT,fernanda.oliveira,A integracao com o gateway de pagamento caiu.,2025-05-03 01:18:16
NPS,lucas.almeida,"A tela de cadastro ficou redonda, sem bugs.",2025-05-03 01:27:06
CSAT,leonardo.ferreira,Onde eu reporto um bug com print da tela?,2025-05-03 09:27:26
NPS,diego.elias,Vocês tiveram alguma manutencao programada hoje?,2025-05-03 10:31:03
CSAT,bruno.araujo,"A API esta bem documentada, consegui integrar rapido.",2025-05-03 14:25:52
BOT,leonardo.correa,A documentacao e bem completa. Ticket 85550.,2025-05-03 15:56:12
CSAT,patricia.rocha,O bloqueio por IP facilitou nossa politica interna. Ticket 70372.,2025-05-03 16:38:45
BuzzMonitor,rafael.correa,"Boa, o erro de sincronizacao sumiu.",2025-05-03 21:54:25
BOT,camila.correa,Parabens pelas melhorias de seguranca.,2025-05-03 22:07:38
BuzzMonitor,mario.elias,Depois do patch nao ocorre mais duplicacao na importacao.,2025-05-04 07:02:37
BOT,thiago.barbosa,A plataforma caiu agora e nao consigo acessar.,2025-05-04 07:19:35
BuzzMonitor,thiago.ribeiro,O sistema duplica registros ao importar. Preciso de retorno urgente.,2025-05-04 18:39:24
BuzzMonitor,beatriz.dias,As telas estao com lentidao em horario comercial.,2025-05-04 20:25:08
CSAT,diego.ferreira,O menu mudou e agora ficou pior de usar. Preciso de retorno urgente.,2025-05-04 22:22:32
BuzzMonitor,fernanda.ribeiro,"Gostei do controle de permissoes, bem completo.",2025-05-05 01:00:56
BOT,juliana.correa,Ficou travando e desconectando toda hora. Preciso de retorno urgente.,2025-05-05 02:07:47
NPS,joao.barbosa,"Boa, o erro de sincronizacao sumiu.",2025-05-05 02:46:26
BuzzMonitor,mario.carvalho,Acho que a comunicacao de mudancas poderia melhorar.,2025-05-05 03:17:18
CSAT,isabela.lima,"Parabens, a nota fiscal saiu certinha e bem rapido.",2025-05-05 06:45:50
BOT,mariana.almeida,Preciso de um relatorio de cobranca do mes.,2025-05-05 14:42:34
CSAT,joao.dias,Ficou travando e desconectando toda hora.,2025-05-05 17:54:27
BuzzMonitor,isabela.correa,Onde eu encontro o historico de faturas?,2025-05-05 19:42:57
BuzzMonitor,lucas.carvalho,"Gostei do conector com o ERP, poupou tempo. Ticket 23673.",2025-05-05 20:43:56
CSAT,carla.mendes,A exportacao para contabilidade funcionou de primeira.,2025-05-05 21:40:08
BOT,fernanda.correa,A correcao do filtro resolveu meu problema. Preciso de retorno urgente.,2025-05-05 23:48:04
BuzzMonitor,vitor.dias,A disponibilidade melhorou bastante essa semana.,2025-05-06 02:17:59
BOT,patricia.nascimento,Depois da ultima manutencao ficou bem mais estavel.,2025-05-06 09:15:51
NPS,joao.teixeira,Qual o limite de requisicoes por minuto na API?,2025-05-06 09:19:16
CSAT,leonardo.mendes,"O sistema esta fora do ar desde cedo, precisamos de retorno.",2025-05-06 17:42:45
CSAT,fernanda.almeida,Seria bom ter mais opcoes de personalizacao. Preciso de retorno urgente.,2025-05-06 17:46:07
CSAT,juliana.correa,Quando tento exportar CSV ele vem vazio.,2025-05-06 23:19:36
BuzzMonitor,isabela.oliveira,As telas estao com lentidao em horario comercial. Preciso de retorno urgente.,2025-05-07 00:59:00
BOT,beatriz.souza,A documentacao e bem completa.,2025-05-07 02:20:57
BuzzMonitor,thiago.correa,Tem atalho para acessar relatorios mais rapido?,2025-05-07 02:33:49
BOT,rafael.nascimento,A experiencia poderia ser melhor em dispositivos moveis.,2025-05-07 04:25:53
NPS,laura.rocha,Hoje o sistema esta super rapido e sem quedas.,2025-05-07 06:56:52
NPS,patricia.correa,"A performance melhorou muito, ta voando. Preciso de retorno urgente.",2025-05-07 16:24:36
BOT,juliana.ferreira,O webhooks estao falhando e nao recebo eventos.,2025-05-07 20:18:44
NPS,juliana.silva,"Comecei a usar rapido, processo muito bom.",2025-05-08 06:12:16
NPS,patricia.souza,As telas estao com lentidao em horario comercial. Ticket 47375.,2025-05-08 06:53:14
BOT,juliana.almeida,O atendimento foi rude e nao ajudou. Preciso de retorno urgente.,2025-05-08 12:24:26
CSAT,patricia.lima,"Produto excelente, atende bem nossas necessidades. Ticket 50683.",2025-05-08 13:23:25
BuzzMonitor,thiago.gomes,"Nao tive mais desconexoes, otimo trabalho.",2025-05-08 14:23:49
CSAT,isabela.ferreira,Onde eu reporto um bug com print da tela?,2025-05-08 16:24:12
BuzzMonitor,leonardo.ribeiro,Tem como trocar a forma de pagamento para cartao?,2025-05-08 23:18:11
CSAT,mariana.ferreira,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-05-09 00:19:49
BOT,isabela.correa,Recebi alerta de login suspeito e nao consegui bloquear.,2025-05-09 05:14:24
CSAT,diego.ribeiro,O menu mudou e agora ficou pior de usar.,2025-05-09 06:12:07
CSAT,patricia.mendes,O atendimento foi rude e nao ajudou.,2025-05-09 09:24:50
CSAT,bruno.araujo,O suporte demorou muito para responder meu chamado. Preciso de retorno urgente.,2025-05-09 12:23:45
NPS,bruno.barbosa,Onde encontro a opcao para personalizar colunas? Preciso de retorno urgente.,2025-05-09 15:45:33
BOT,ana.almeida,A plataforma caiu agora e nao consigo acessar. Preciso de retorno urgente.,2025-05-09 17:53:03
NPS,leonardo.carvalho,Onde encontro a base de conhecimento?,2025-05-09 19:50:52
BOT,vitor.pereira,Qual versao contem a correcao do problema?,2025-05-09 22:24:53
NPS,juliana.elias,A integracao com o gateway de pagamento caiu. Preciso de retorno urgente.,2025-05-10 11:53:00
BOT,isabela.almeida,Preciso de auditoria e nao encontro logs completos. Preciso de retorno urgente.,2025-05-10 12:36:25
CSAT,thiago.lima,Seria bom ter mais opcoes de personalizacao.,2025-05-10 22:17:25
CSAT,beatriz.barbosa,Preciso de auditoria e não encontro logs completos.,2025-05-10 22:46:05
CSAT,ana.ferreira,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-05-10 23:44:47
BuzzMonitor,camila.souza,Os webhooks estao super estaveis agora. Preciso de retorno urgente.,2025-05-11 02:17:37
NPS,diego.ferreira,Quero entender como funciona o calculo de impostos.,2025-05-11 02:24:43
BOT,leonardo.nascimento,O sistema duplica registros ao importar.,2025-05-11 04:13:35
