origem,usuario,mensagem,data,sentimentalidade,categoria
CSAT,gustavo.mendes,"A importacao esta levando horas, ficou impraticavel.",2025-03-26 05:24:38,NEUTRA,FEEDBACK GERAL
CSAT,lucas.gomes,Fui transferido varias vezes e nao resolveram.,2025-03-26 08:47:04,NEUTRA,FEEDBACK GERAL
CSAT,fernanda.carvalho,As telas estao com lentidao em horario comercial. Preciso de retorno urgente.,2025-03-26 09:37:07,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,leonardo.carvalho,"As dicas na tela ajudam bastante, parabens.",2025-03-26 14:45:12,NEUTRA,FEEDBACK GERAL
BuzzMonitor,diego.ferreira,Fiquei perdido na configuracao inicial.,2025-03-26 15:59:07,NEUTRA,FINANCEIRO
NPS,juliana.lima,Os dados do CRM estao vindo incompletos na integracao.,2025-03-26 18:18:50,NEUTRA,FEEDBACK GERAL
CSAT,mariana.oliveira,Os tutoriais nao cobrem o que eu preciso. Ticket 88265.,2025-03-27 01:24:58,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,leonardo.rocha,"A fatura veio com reajuste sem aviso, podem verificar? Preciso de retorno urgente.",2025-03-27 08:19:19,NEGATIVA,FINANCEIRO
BuzzMonitor,beatriz.mendes,"Comecei a usar rapido, processo muito bom.",2025-03-27 10:11:40,POSITIVA,API/AUTENTICACAO
CSAT,beatriz.araujo,"Evoluiram muito no ultimo trimestre, parabens.",2025-03-27 17:58:43,NEUTRA,FEEDBACK GERAL
NPS,thiago.martins,O onboarding foi confuso e faltou treinamento.,2025-03-27 20:04:12,POSITIVA,FINANCEIRO
BuzzMonitor,rafael.oliveira,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-03-27 21:14:44,NEGATIVA,FINANCEIRO
BOT,thiago.martins,Tem boas praticas para melhorar performance?,2025-03-28 06:03:17,POSITIVA,FEEDBACK GERAL
NPS,mariana.dias,Importacao muito mais eficiente agora.,2025-03-28 13:34:27,NEUTRA,FEEDBACK GERAL
NPS,mariana.ferreira,Onde eu reporto um bug com print da tela?,2025-03-28 16:43:17,NEGATIVA,BUGS
BuzzMonitor,ana.lima,Preciso de um relatorio de cobranca do mes. Ticket 68912.,2025-03-29 14:58:44,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,vitor.gomes,A nova interface ficou bem mais intuitiva.,2025-03-29 15:00:19,NEUTRA,FEEDBACK GERAL
NPS,bruno.almeida,"Comecei a usar rapido, processo muito bom.",2025-03-29 15:24:43,POSITIVA,API/AUTENTICACAO
BOT,isabela.gomes,O atendente nao entendeu o problema e encerrou o ticket. Preciso de retorno urgente.,2025-03-29 17:24:35,NEGATIVA,BUGS
CSAT,mario.ferreira,"Gostei do controle de permissoes, bem completo. Preciso de retorno urgente.",2025-03-29 20:56:57,NEGATIVA,FEEDBACK GERAL
CSAT,fernanda.lima,Recebi alerta de login suspeito e nao consegui bloquear.,2025-03-30 00:54:22,NEUTRA,FEEDBACK GERAL
BOT,fernanda.mendes,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-03-30 09:06:53,POSITIVA,FEEDBACK GERAL
BuzzMonitor,thiago.elias,Importacao muito mais eficiente agora.,2025-03-30 09:11:07,NEUTRA,FEEDBACK GERAL
NPS,joao.ferreira,"As dicas na tela ajudam bastante, parabens.",2025-03-30 10:09:09,NEUTRA,FEEDBACK GERAL
CSAT,laura.souza,"Obrigada pela paciencia, problema resolvido.",2025-03-30 11:38:36,POSITIVA,FEEDBACK GERAL
NPS,vitor.martins,"Gostei do controle de permissoes, bem completo.",2025-03-30 22:52:57,NEUTRA,FEEDBACK GERAL
BuzzMonitor,mario.dias,Parabens pelas melhorias de seguranca.,2025-03-31 02:58:00,NEUTRA,FEATURE REQUEST
BOT,thiago.carvalho,O cancelamento foi cobrado mesmo depois de eu solicitar. Ticket 92066.,2025-03-31 05:59:05,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,ana.rocha,Onde vejo o log de auditoria?,2025-03-31 08:43:24,NEUTRA,FEEDBACK GERAL
BuzzMonitor,carla.barbosa,"Faltam campos no cadastro, isso atrapalha.",2025-03-31 10:18:33,NEUTRA,FEEDBACK GERAL
BuzzMonitor,lucas.rocha,O filtro nao funciona e retorna resultados errados.,2025-03-31 10:59:00,NEGATIVA,FEEDBACK GERAL
CSAT,patricia.dias,Os logs de auditoria ajudaram bastante.,2025-03-31 12:46:13,NEUTRA,FEEDBACK GERAL
CSAT,rafael.ferreira,"A navegacao esta confusa, nao acho as configuracoes.",2025-03-31 21:55:01,NEUTRA,FINANCEIRO
NPS,diego.barbosa,Onde eu reporto um bug com print da tela?,2025-04-01 04:51:11,NEGATIVA,BUGS
CSAT,bruno.correa,Nao consigo atualizar meus dados de pagamento no sistema. Ticket 17362.,2025-04-01 08:12:24,NEUTRA,SUPORTE/ATENDIMENTO
NPS,mario.ferreira,"Evoluiram muito no ultimo trimestre, parabens.",2025-04-01 08:26:36,NEUTRA,FEEDBACK GERAL
NPS,ana.silva,Muitos cliques para fazer uma tarefa simples.,2025-04-01 08:41:05,NEUTRA,FEEDBACK GERAL
NPS,mariana.elias,A correcao do filtro resolveu meu problema. Preciso de retorno urgente.,2025-04-01 12:05:05,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,bruno.gomes,Estou recebendo erro 500 ao tentar salvar. Preciso de retorno urgente. Ticket 99863.,2025-04-01 12:25:24,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BOT,patricia.martins,A documentacao e bem completa.,2025-04-01 19:22:41,NEUTRA,TREINAMENTO/ONBOARDING
BuzzMonitor,bruno.mendes,Tem atalho para acessar relatorios mais rapido? Ticket 58422.,2025-04-01 21:12:43,POSITIVA,API/AUTENTICACAO
NPS,mario.almeida,Tem trilha de treinamento para novos usuarios?,2025-04-01 23:05:04,NEUTRA,TREINAMENTO/ONBOARDING
CSAT,thiago.araujo,Existe cache para relatorios?,2025-04-02 02:53:02,NEUTRA,FEEDBACK GERAL
CSAT,bruno.gomes,Parece que um usuario acessou dados que nao deveria.,2025-04-02 12:06:41,NEUTRA,FEEDBACK GERAL
CSAT,vitor.araujo,"A sincronizacao ficou consistente, obrigado.",2025-04-02 12:20:34,POSITIVA,FEEDBACK GERAL
NPS,ana.almeida,Vocês recomendam qual navegador?,2025-04-02 16:35:11,NEUTRA,FEEDBACK GERAL
NPS,fernanda.correa,Qual versao contem a correcao do problema?,2025-04-02 17:30:18,NEGATIVA,FEEDBACK GERAL
NPS,juliana.correa,A API esta retornando 401 mesmo com token valido.,2025-04-02 20:48:58,NEGATIVA,API/AUTENTICACAO
CSAT,mariana.mendes,Muitos cliques para fazer uma tarefa simples.,2025-04-02 21:25:55,NEUTRA,FEEDBACK GERAL
CSAT,bruno.pereira,"Nao carrega a tela inicial, fica em loading infinito.",2025-04-02 22:52:21,NEUTRA,FINANCEIRO
CSAT,diego.dias,"A fatura veio com reajuste sem aviso, podem verificar?",2025-04-03 02:06:11,NEUTRA,FINANCEIRO
CSAT,camila.martins,Vocês recomendam qual navegador?,2025-04-03 02:55:02,NEUTRA,FEEDBACK GERAL
CSAT,bruno.nascimento,Fiquei perdido na configuracao inicial. Preciso de retorno urgente.,2025-04-03 06:23:58,NEGATIVA,FINANCEIRO
CSAT,carla.lima,O reset de senha falha e nao chega email.,2025-04-03 16:05:41,NEGATIVA,BUGS
BuzzMonitor,joao.gomes,Tem boas praticas para melhorar performance? Preciso de retorno urgente.,2025-04-03 22:06:53,NEUTRA,FEEDBACK GERAL
CSAT,mario.araujo,Nao consegui importar meus dados iniciais. Ticket 56244.,2025-04-04 10:13:16,NEUTRA,SUPORTE/ATENDIMENTO
BOT,juliana.rocha,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-04-04 18:53:38,NEGATIVA,FINANCEIRO
BOT,isabela.elias,Vocês tem exemplo de payload para webhooks?,2025-04-05 05:37:17,NEUTRA,FEEDBACK GERAL
CSAT,gustavo.ferreira,Como abro um chamado para suporte tecnico?,2025-04-05 09:36:27,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,joao.barbosa,A integracao suporta ambientes de teste?,2025-04-05 18:05:59,NEUTRA,FEEDBACK GERAL
BOT,camila.rocha,A integracao gera erro ao sincronizar e para no meio.,2025-04-06 05:40:41,NEGATIVA,BUGS
CSAT,isabela.mendes,O tempo de resposta da API aumentou bastante.,2025-04-06 08:10:50,NEUTRA,API/AUTENTICACAO
BuzzMonitor,carla.barbosa,Parece que um usuario acessou dados que nao deveria.,2025-04-06 09:35:30,NEUTRA,FEEDBACK GERAL
NPS,ana.araujo,Ficou travando e desconectando toda hora.,2025-04-06 10:17:30,NEGATIVA,INSTABILIDADE NA PLATAFORMA
CSAT,thiago.dias,Fui transferido varias vezes e nao resolveram.,2025-04-06 10:22:11,NEUTRA,FEEDBACK GERAL
BOT,isabela.ferreira,"Nao carrega a tela inicial, fica em loading infinito.",2025-04-06 13:14:11,NEUTRA,FINANCEIRO
CSAT,mario.dias,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-04-06 15:49:56,NEGATIVA,FINANCEIRO
CSAT,lucas.correa,O tempo de resposta da API aumentou bastante.,2025-04-06 18:59:00,NEUTRA,API/AUTENTICACAO
CSAT,bruno.almeida,A documentacao e bem completa.,2025-04-07 05:32:11,NEUTRA,TREINAMENTO/ONBOARDING
BuzzMonitor,patricia.correa,Quero falar com um especialista em integracoes.,2025-04-07 09:31:46,NEUTRA,FEEDBACK GERAL
CSAT,juliana.ribeiro,O menu mudou e agora ficou pior de usar. Ticket 44517.,2025-04-07 09:55:43,NEUTRA,SUPORTE/ATENDIMENTO
NPS,beatriz.elias,"A fatura veio com reajuste sem aviso, podem verificar? Ticket 97163.",2025-04-07 10:40:42,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,joao.mendes,Como abro um chamado para suporte tecnico?,2025-04-07 13:37:07,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,camila.elias,"A busca ficou instantanea, parabens.",2025-04-07 14:03:43,NEUTRA,FEEDBACK GERAL
NPS,carla.souza,O onboarding foi confuso e faltou treinamento.,2025-04-07 14:58:46,POSITIVA,FINANCEIRO
BuzzMonitor,bruno.ferreira,Os tutoriais ajudaram muito a comecar.,2025-04-07 17:46:17,NEUTRA,FEEDBACK GERAL
BOT,gustavo.oliveira,Quero falar com um especialista em integracoes.,2025-04-07 18:06:17,NEUTRA,FEEDBACK GERAL
BuzzMonitor,beatriz.mendes,Ficou travando e desconectando toda hora.,2025-04-07 21:11:56,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,camila.mendes,Qual o limite de requisicoes por minuto na API?,2025-04-07 23:58:50,NEUTRA,API/AUTENTICACAO
CSAT,juliana.dias,O reset de senha falha e nao chega email. Preciso de retorno urgente.,2025-04-08 01:26:44,NEGATIVA,BUGS
BuzzMonitor,gustavo.ribeiro,Quando tento exportar CSV ele vem vazio.,2025-04-08 01:32:26,NEUTRA,FEEDBACK GERAL
NPS,leonardo.rocha,A integracao com o ERP não esta sincronizando.,2025-04-08 03:25:29,NEUTRA,FEEDBACK GERAL
CSAT,mario.mendes,"A API esta bem documentada, consegui integrar rapido.",2025-04-08 05:59:07,POSITIVA,API/AUTENTICACAO
BuzzMonitor,bruno.nascimento,"Evoluiram muito no ultimo trimestre, parabens.",2025-04-08 08:15:59,NEUTRA,FEEDBACK GERAL
BuzzMonitor,juliana.souza,Ficou travando e desconectando toda hora.,2025-04-08 08:25:13,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BOT,mariana.lima,Consigo abrir um chamado para esse comportamento? Preciso de retorno urgente.,2025-04-08 15:02:52,NEGATIVA,SUPORTE/ATENDIMENTO
NPS,fernanda.dias,O onboarding foi excelente e bem guiado.,2025-04-08 15:20:57,POSITIVA,TREINAMENTO/ONBOARDING
BOT,camila.martins,Muitos cliques para fazer uma tarefa simples.,2025-04-08 17:43:02,NEUTRA,FEEDBACK GERAL
BuzzMonitor,camila.lima,Vocês tiveram alguma manutencao programada hoje?,2025-04-09 00:42:29,NEUTRA,FEEDBACK GERAL
CSAT,mariana.gomes,Tem SSO com Azure AD? Preciso de retorno urgente.,2025-04-09 01:42:29,NEGATIVA,FEEDBACK GERAL
CSAT,camila.dias,"Estou vendo lentidao em alguns horarios, e esperado?",2025-04-09 23:28:09,NEUTRA,FEEDBACK GERAL
CSAT,carla.silva,Fiquei perdido na configuracao inicial.,2025-04-10 09:31:12,NEUTRA,FINANCEIRO
BOT,laura.ribeiro,"Evoluiram muito no ultimo trimestre, parabens.",2025-04-10 15:35:50,NEUTRA,FEEDBACK GERAL
NPS,carla.almeida,O atendente nao entendeu o problema e encerrou o ticket.,2025-04-10 22:34:41,NEGATIVA,BUGS
BuzzMonitor,fernanda.dias,Parabens pelas melhorias de seguranca. Ticket 87352.,2025-04-11 03:12:39,NEUTRA,SUPORTE/ATENDIMENTO
BOT,juliana.martins,A tela nao e intuitiva e acaba atrapalhando.,2025-04-11 04:00:18,NEUTRA,FEEDBACK GERAL
BuzzMonitor,mario.elias,Qual o prazo para emitir nota fiscal?,2025-04-11 20:35:11,NEUTRA,FINANCEIRO
BuzzMonitor,mario.lima,"A importacao esta levando horas, ficou impraticavel.",2025-04-12 02:04:35,NEUTRA,FEEDBACK GERAL
NPS,bruno.lima,"Estou com problema na cobranca, veio valor duplicado na fatura. Preciso de retorno urgente.",2025-04-12 03:10:15,NEGATIVA,FINANCEIRO
BuzzMonitor,beatriz.gomes,A integracao com o CRM funcionou sem dor de cabeca.,2025-04-12 16:08:52,POSITIVA,FEEDBACK GERAL
BuzzMonitor,mariana.carvalho,"A importacao esta levando horas, ficou impraticavel.",2025-04-12 23:50:37,NEUTRA,FEEDBACK GERAL
BuzzMonitor,isabela.pereira,Posso enviar logs para ajudar a investigar?,2025-04-13 06:05:46,NEUTRA,FEEDBACK GERAL
BOT,leonardo.elias,Parece que um usuario acessou dados que nao deveria.,2025-04-13 17:00:03,NEUTRA,FEEDBACK GERAL
CSAT,mario.ribeiro,"A tela de cadastro ficou redonda, sem bugs.",2025-04-14 00:38:42,NEGATIVA,BUGS
BOT,mario.almeida,A busca demora demais e trava o navegador.,2025-04-14 05:00:30,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,vitor.elias,A nova interface ficou bem mais intuitiva.,2025-04-14 06:15:04,NEUTRA,FEEDBACK GERAL
NPS,vitor.ferreira,"Boa, o erro de sincronizacao sumiu.",2025-04-14 14:01:01,NEUTRA,BUGS
CSAT,rafael.carvalho,A integracao com o CRM funcionou sem dor de cabeca.,2025-04-14 14:09:27,POSITIVA,FEEDBACK GERAL
CSAT,rafael.nascimento,A autenticacao em dois fatores nao funciona.,2025-04-14 19:49:04,NEGATIVA,API/AUTENTICACAO
CSAT,juliana.correa,Tem SSO com Azure AD?,2025-04-15 05:43:57,NEUTRA,FEEDBACK GERAL
NPS,leonardo.barbosa,O bloqueio por IP facilitou nossa politica interna.,2025-04-15 06:44:16,NEUTRA,FEEDBACK GERAL
BuzzMonitor,camila.nascimento,No geral estou bem satisfeito com a plataforma.,2025-04-15 13:35:45,NEUTRA,FEEDBACK GERAL
NPS,fernanda.rocha,Vocês oferecem implantacao assistida?,2025-04-16 04:52:42,NEUTRA,FEEDBACK GERAL
BuzzMonitor,mario.nascimento,O reset de senha falha e nao chega email. Preciso de retorno urgente.,2025-04-16 06:23:19,NEGATIVA,BUGS
CSAT,ana.teixeira,O webhooks estao falhando e nao recebo eventos.,2025-04-16 08:18:26,NEGATIVA,BUGS
CSAT,laura.martins,"Faltam campos no cadastro, isso atrapalha.",2025-04-16 08:47:45,NEUTRA,FEEDBACK GERAL
BuzzMonitor,rafael.mendes,Preciso de um relatorio de cobranca do mes.,2025-04-16 11:41:44,NEUTRA,FINANCEIRO
BOT,beatriz.martins,Posso reorganizar o menu?,2025-04-16 14:48:44,NEUTRA,FEEDBACK GERAL
NPS,fernanda.martins,"Muito bom ter 2FA, aumentou a seguranca.",2025-04-16 21:33:22,POSITIVA,FEEDBACK GERAL
CSAT,patricia.teixeira,"Nao carrega a tela inicial, fica em loading infinito.",2025-04-16 22:35:57,NEUTRA,FINANCEIRO
CSAT,fernanda.silva,"A fatura veio com reajuste sem aviso, podem verificar?",2025-04-16 23:01:15,NEUTRA,FINANCEIRO
NPS,vitor.dias,O bloqueio por IP facilitou nossa politica interna.,2025-04-16 23:56:29,NEUTRA,FEEDBACK GERAL
BOT,laura.araujo,Existe modo escuro?,2025-04-17 00:40:00,NEUTRA,FEEDBACK GERAL
BOT,patricia.gomes,Estou recebendo erro 500 ao tentar salvar.,2025-04-17 09:09:20,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,lucas.carvalho,"A fatura veio com reajuste sem aviso, podem verificar?",2025-04-17 12:46:00,NEUTRA,FINANCEIRO
BOT,joao.dias,Como configuro 2FA para todos os usuarios?,2025-04-17 13:45:58,NEUTRA,FINANCEIRO
NPS,joao.teixeira,Estou recebendo erro 500 ao tentar salvar.,2025-04-17 16:21:16,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,carla.oliveira,O cancelamento foi cobrado mesmo depois de eu solicitar.,2025-04-17 23:13:24,NEUTRA,FEEDBACK GERAL
NPS,thiago.barbosa,A tela nao e intuitiva e acaba atrapalhando.,2025-04-18 00:55:23,NEUTRA,FEEDBACK GERAL
CSAT,gustavo.martins,A correcao do filtro resolveu meu problema.,2025-04-18 02:16:04,NEGATIVA,FEEDBACK GERAL
BOT,mariana.ribeiro,Resposta rapida e com orientacao completa. Ticket 54917.,2025-04-18 04:56:14,NEUTRA,API/AUTENTICACAO
CSAT,carla.oliveira,Estou recebendo erro 500 ao tentar salvar.,2025-04-18 05:30:48,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,fernanda.elias,Muitos cliques para fazer uma tarefa simples.,2025-04-18 10:50:34,NEUTRA,FEEDBACK GERAL
CSAT,laura.barbosa,A experiencia poderia ser melhor em dispositivos moveis.,2025-04-18 12:55:57,NEUTRA,FEEDBACK GERAL
NPS,thiago.gomes,"O processo de pagamento ficou mais simples, ajudou muito.",2025-04-18 15:10:54,NEUTRA,FINANCEIRO
BOT,bruno.araujo,A documentacao e bem completa.,2025-04-18 16:02:26,NEUTRA,TREINAMENTO/ONBOARDING
CSAT,isabela.barbosa,"Boa, o erro de sincronizacao sumiu.",2025-04-18 16:43:44,NEUTRA,BUGS
NPS,camila.silva,O boleto não foi gerado e estou com pagamento em atraso por causa disso.,2025-04-18 21:01:21,NEUTRA,SUPORTE/ATENDIMENTO
NPS,patricia.pereira,"A importacao esta levando horas, ficou impraticavel.",2025-04-18 21:38:30,NEUTRA,FEEDBACK GERAL
BuzzMonitor,laura.elias,"Estou sem retorno ha dias, isso prejudica o trabalho. Preciso de retorno urgente.",2025-04-18 21:44:18,NEGATIVA,SUPORTE/ATENDIMENTO
NPS,isabela.souza,A API esta retornando 401 mesmo com token valido.,2025-04-18 23:35:58,NEGATIVA,API/AUTENTICACAO
BuzzMonitor,thiago.mendes,O tempo de resposta da API aumentou bastante. Ticket 81741.,2025-04-19 00:12:01,NEUTRA,API/AUTENTICACAO
BOT,bruno.mendes,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-04-19 04:26:38,NEGATIVA,FINANCEIRO
CSAT,gustavo.oliveira,Fui transferido varias vezes e nao resolveram.,2025-04-19 04:46:07,NEUTRA,FEEDBACK GERAL
NPS,juliana.carvalho,Preciso de um relatorio de cobranca do mes.,2025-04-19 08:07:38,NEUTRA,FINANCEIRO
BOT,mariana.dias,"Gostei do novo painel financeiro, bem mais claro.",2025-04-19 14:20:10,NEUTRA,FEEDBACK GERAL
NPS,mario.mendes,"Gostei do layout, ficou facil achar as funcoes.",2025-04-19 14:36:21,NEUTRA,FEEDBACK GERAL
NPS,ana.oliveira,A conciliacao bancaria ficou bem melhor nessa versao.,2025-04-19 17:35:25,NEUTRA,FEEDBACK GERAL
CSAT,joao.mendes,Ficou travando e desconectando toda hora.,2025-04-19 18:52:57,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BuzzMonitor,rafael.silva,Quero falar com um especialista em integracoes. Ticket 82737.,2025-04-19 19:35:45,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,patricia.ribeiro,A API esta bem mais rapida nessa versao.,2025-04-19 19:41:11,NEUTRA,API/AUTENTICACAO
CSAT,vitor.ferreira,"O time de CS acompanhou ate a solucao, show.",2025-04-19 20:35:12,POSITIVA,FEEDBACK GERAL
BuzzMonitor,ana.mendes,"Obrigada pela paciencia, problema resolvido. Preciso de retorno urgente.",2025-04-19 21:01:12,NEUTRA,FEEDBACK GERAL
NPS,gustavo.almeida,O reset de senha falha e nao chega email.,2025-04-19 22:50:14,NEGATIVA,BUGS
BuzzMonitor,laura.elias,A autenticacao em dois fatores nao funciona.,2025-04-20 01:20:03,NEGATIVA,API/AUTENTICACAO
CSAT,joao.teixeira,Estou recebendo erro 500 ao tentar salvar.,2025-04-20 01:33:27,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BOT,isabela.nascimento,O webhooks estao falhando e nao recebo eventos.,2025-04-20 05:17:47,NEGATIVA,BUGS
BOT,gustavo.mendes,Posso enviar logs para ajudar a investigar?,2025-04-20 10:32:29,NEUTRA,FEEDBACK GERAL
NPS,beatriz.ribeiro,A integracao com o ERP nao esta sincronizando.,2025-04-20 10:41:57,NEUTRA,FEEDBACK GERAL
CSAT,gustavo.lima,O filtro nao funciona e retorna resultados errados.,2025-04-20 12:50:34,NEGATIVA,FEEDBACK GERAL
NPS,diego.elias,Quando tento exportar CSV ele vem vazio.,2025-04-20 13:29:53,NEUTRA,FEEDBACK GERAL
NPS,beatriz.pereira,Sinto falta de um relatorio mais completo.,2025-04-20 20:00:40,NEUTRA,FEEDBACK GERAL
BuzzMonitor,carla.dias,Depois do patch nao ocorre mais duplicacao na importacao.,2025-04-21 00:14:12,NEUTRA,FEEDBACK GERAL
CSAT,patricia.barbosa,"Gostei do conector com o ERP, poupou tempo. Preciso de retorno urgente.",2025-04-21 03:23:05,NEGATIVA,FEEDBACK GERAL
CSAT,diego.nascimento,A experiencia poderia ser melhor em dispositivos moveis. Preciso de retorno urgente.,2025-04-21 08:26:30,NEGATIVA,FEEDBACK GERAL
CSAT,rafael.ribeiro,"A busca ficou instantanea, parabens. Ticket 56284.",2025-04-21 10:37:57,NEUTRA,SUPORTE/ATENDIMENTO
CSAT,lucas.dias,Os logs de auditoria ajudaram bastante.,2025-04-21 14:26:38,NEUTRA,FEEDBACK GERAL
BuzzMonitor,laura.martins,Onde encontro a opcao para personalizar colunas?,2025-04-21 19:57:01,NEUTRA,FEEDBACK GERAL
BuzzMonitor,fernanda.mendes,"A performance melhorou muito, ta voando.",2025-04-22 01:46:26,NEUTRA,FEEDBACK GERAL
NPS,beatriz.elias,A documentacao esta desatualizada.,2025-04-22 07:00:05,NEUTRA,TREINAMENTO/ONBOARDING
CSAT,rafael.barbosa,Quando tento exportar CSV ele vem vazio.,2025-04-22 07:32:21,NEUTRA,FEEDBACK GERAL
CSAT,isabela.ribeiro,Parabens pelas melhorias de seguranca.,2025-04-22 16:59:11,NEUTRA,FEATURE REQUEST
CSAT,leonardo.carvalho,Muitos cliques para fazer uma tarefa simples.,2025-04-22 17:12:40,NEUTRA,FEEDBACK GERAL
NPS,gustavo.ribeiro,"Gostei do controle de permissoes, bem completo.",2025-04-23 08:07:50,NEUTRA,FEEDBACK GERAL
CSAT,juliana.silva,Posso reorganizar o menu?,2025-04-23 10:01:28,NEUTRA,FEEDBACK GERAL
NPS,camila.araujo,"Muito bom ter 2FA, aumentou a seguranca.",2025-04-23 11:47:34,POSITIVA,FEEDBACK GERAL
NPS,rafael.araujo,As mensagens de erro nao explicam o que fazer.,2025-04-23 16:49:48,NEGATIVA,BUGS
CSAT,mariana.araujo,O tempo de resposta da API aumentou bastante.,2025-04-23 19:32:41,NEUTRA,API/AUTENTICACAO
NPS,ana.pereira,"O time de CS acompanhou ate a solucao, show.",2025-04-23 20:41:56,POSITIVA,FEEDBACK GERAL
CSAT,rafael.barbosa,"Estou com problema na cobranca, veio valor duplicado na fatura.",2025-04-24 02:32:27,NEGATIVA,FINANCEIRO
CSAT,thiago.martins,"Faltam campos no cadastro, isso atrapalha.",2025-04-24 07:20:13,NEUTRA,FEEDBACK GERAL
NPS,mariana.teixeira,"A navegacao esta confusa, nao acho as configuracoes.",2025-04-24 07:59:16,NEUTRA,FINANCEIRO
CSAT,camila.elias,Quero entender como funciona o calculo de impostos.,2025-04-24 12:13:03,NEUTRA,FEEDBACK GERAL
BuzzMonitor,mariana.barbosa,O suporte foi muito prestativo e claro.,2025-04-24 12:44:23,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,gustavo.mendes,O filtro nao funciona e retorna resultados errados. Preciso de retorno urgente.,2025-04-24 23:04:58,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,isabela.elias,"Nao tive mais desconexoes, otimo trabalho.",2025-04-24 23:37:10,POSITIVA,FEEDBACK GERAL
NPS,leonardo.mendes,"A tela de cadastro ficou redonda, sem bugs.",2025-04-25 06:21:47,NEGATIVA,BUGS
BuzzMonitor,vitor.correa,Depois do patch não ocorre mais duplicacao na importacao.,2025-04-25 14:02:48,NEUTRA,FEEDBACK GERAL
BOT,rafael.martins,Tem boas praticas para melhorar performance? Preciso de retorno urgente.,2025-04-25 14:34:46,NEUTRA,FEEDBACK GERAL
NPS,patricia.barbosa,A ferramenta esta ajudando muito nosso dia a dia.,2025-04-26 04:25:08,NEUTRA,FEEDBACK GERAL
BuzzMonitor,laura.nascimento,Nao consegui importar meus dados iniciais.,2025-04-26 11:31:55,NEUTRA,FEEDBACK GERAL
CSAT,beatriz.lima,O reset de senha falha e nao chega email.,2025-04-26 13:42:33,NEGATIVA,BUGS
NPS,rafael.nascimento,A busca demora demais e trava o navegador.,2025-04-26 13:58:07,NEGATIVA,INSTABILIDADE NA PLATAFORMA
NPS,mario.teixeira,O suporte foi muito prestativo e claro.,2025-04-26 14:36:35,NEUTRA,SUPORTE/ATENDIMENTO
BOT,camila.lima,Acho que a comunicacao de mudancas poderia melhorar.,2025-04-26 17:47:17,NEUTRA,FEEDBACK GERAL
CSAT,gustavo.carvalho,O boleto nao foi gerado e estou com pagamento em atraso por causa disso.,2025-04-27 01:40:24,NEUTRA,SUPORTE/ATENDIMENTO
BOT,beatriz.barbosa,O filtro nao funciona e retorna resultados errados.,2025-04-27 02:04:20,NEGATIVA,FEEDBACK GERAL
BuzzMonitor,gustavo.carvalho,A autenticacao em dois fatores nao funciona. Preciso de retorno urgente.,2025-04-27 04:19:10,NEGATIVA,API/AUTENTICACAO
BOT,lucas.ferreira,"A importacao esta levando horas, ficou impraticavel.",2025-04-27 07:44:13,NEUTRA,FEEDBACK GERAL
CSAT,lucas.correa,Parece que um usuario acessou dados que nao deveria. Preciso de retorno urgente.,2025-04-27 18:09:09,NEGATIVA,FEEDBACK GERAL
NPS,carla.oliveira,O fluxo de cadastro esta muito melhor.,2025-04-27 18:40:31,NEUTRA,FEEDBACK GERAL
BuzzMonitor,bruno.gomes,A integracao com o gateway de pagamento caiu.,2025-04-27 21:03:22,NEGATIVA,INSTABILIDADE NA PLATAFORMA
BOT,thiago.silva,"Obrigada por resolverem a instabilidade, melhorou muito.",2025-04-28 00:47:31,POSITIVA,FEEDBACK GERAL
CSAT,ana.elias,Como configuro 2FA para todos os usuarios? Ticket 47105.,2025-04-28 01:52:15,NEUTRA,SUPORTE/ATENDIMENTO
BuzzMonitor,juliana.correa,A experiencia de uso evoluiu muito.,2025-04-28 04:38:54,NEUTRA,FEEDBACK GERAL
